Elements,Melting_Point
H,14.01
He,0.95
Li,553.69
Be,1551
B,2573
C,3820
N,63.29
O,54.8
F,53.53
Ne,48
Na,370.96
Mg,922
Al,933.5
Si,1683
P,317.3
S,386
Cl,172.2
Ar,83.8
K,336.8
Ca,1112
Sc,1814
Ti,1933
V,2160
Cr,2130
Mn,1517
Fe,1808
Co,1768
Ni,1726
Cu,1356.6
Zn,692.73
Ga,302.93
Ge,1210.6
As,1090
Se,490
Br,265.9
Kr,116.6
Rb,312.2
Sr,1042
Y,1795
Zr,2125
Nb,2741
Mo,2890
Tc,2445
Ru,2583
Rh,2239
Pd,1825
Ag,1235.1
Cd,594.1
In,429.32
Sn,505.1
Sb,903.9
Te,722.7
I,386.7
Xe,161.3
Cs,301.6
Ba,1002
La,1194
Ce,1072
Pr,1204
Nd,1294
Pm,1441
Sm,1350
Eu,1095
Gd,1586
Tb,1629
Dy,1685
Ho,1747
Er,1802
Tm,1818
Yb,1097
Lu,1936
Hf,2503
Ta,3269
W,3680
Re,3453
Os,3327
Ir,2683
Pt,2045
Au,1337.58
Hg,234.28
Tl,576.6
Pb,600.65
Bi,544.5
Po,527
At,575
Rn,202
Fr,300
Ra,973
Ac,1320
Th,2028
Pa,2113
U,1405.5
Np,913
Pu,914
Am,1267
Cm,1340
Bk,1613
Cf,900
Es, 
Fm,1800
Md,1100
No,1100
Lr,
Rf,
Db,
Sg,
Bh,
Hs,
Mt,
Uun,
Uuu,